ItemID,ItemName,ItemDescription,ItemStartPrice,ItemSellerID,ItemStartDate,ItemEndDate
161,"Fitness Tracker","Smart fitness tracker for monitoring health and activity",15000,9,2023-04-07T12:00:00Z,2023-04-14T12:00:00Z
162,"Home Security Camera","Indoor and outdoor home security camera for enhanced safety",45000,3,2023-04-04T10:00:00Z,2023-04-11T10:00:00Z
163,"Yoga Ball","Sturdy yoga ball for core strengthening and balance exercises",5000,7,2023-04-06T16:00:00Z,2023-04-13T16:00:00Z
164,"Portable Bluetooth Speaker","Compact and portable Bluetooth speaker for on-the-go music",8000,2,2023-04-03T09:00:00Z,2023-04-10T09:00:00Z
165,"Camping Sleeping Bag","Warm and comfortable sleeping bag for camping trips",20000,8,2023-04-09T14:00:00Z,2023-04-16T14:00:00Z
166,"Wireless Earphones","Wireless earphones for music and calls on the go",5000,5,2023-04-02T11:00:00Z,2023-04-09T11:00:00Z
167,"Robotic Vacuum Cleaner","Intelligent robotic vacuum cleaner for automated cleaning",40000,1,2023-04-10T13:00:00Z,2023-04-17T13:00:00Z
168,"Resistance Band Set","Set of resistance bands with varying resistance levels",5000,6,2023-04-01T15:00:00Z,2023-04-08T15:00:00Z
169,"Hiking Shoes","Durable hiking shoes for comfortable and secure hikes",12000,10,2023-04-09T17:00:00Z,2023-04-16T17:00:00Z
170,"Wireless Gaming Keyboard","Wireless gaming keyboard for responsive and precise gaming",20000,4,2023-03-31T08:00:00Z,2023-04-07T08:00:00Z
171,"Smart Scale","Smart scale for monitoring weight and body composition",8000,9,2023-04-02T12:00:00Z,2023-04-09T12:00:00Z
172,"Home Theater Soundbar","Powerful home theater soundbar for immersive audio",60000,3,2023-03-30T10:00:00Z,2023-04-06T10:00:00Z
173,"Pilates Ring","Versatile Pilates ring for strengthening and toning exercises",3000,7,2023-04-01T16:00:00Z,2023-04-08T16:00:00Z
174,"Wireless Charging Pad","Wireless charging pad for convenient device charging",6000,2,2023-03-29T09:00:00Z,2023-04-05T09:00:00Z
175,"Camping Cookware Set","Compact and lightweight camping cookware set",15000,8,2023-03-31T14:00:00Z,2023-04-07T14:00:00Z
176,"Bluetooth Sports Headphones","Bluetooth sports headphones for music and calls during workouts",6000,5,2023-03-28T11:00:00Z,2023-04-04T11:00:00Z
177,"Smart Doorbell","Smart doorbell with video and two-way audio communication",10000,1,2023-04-05T13:00:00Z,2023-04-12T13:00:00Z
178,"Travel Backpack","Versatile travel backpack for convenient and organized travel",25000,6,2023-03-27T15:00:00Z,2023-04-03T15:00:00Z
179,"Cycling Gloves","Comfortable and protective cycling gloves for rides",5000,10,2023-04-04T17:00:00Z,2023-04-11T17:00:00Z
180,"Digital Mixing Console","Professional digital mixing console for audio production",40000,4,2023-03-26T08:00:00Z,2023-04-02T08:00:00Z
181,"Wireless Bluetooth Earbuds","Wireless Bluetooth earbuds for music and calls on the go",12000,9,2023-03-28T12:00:00Z,2023-04-04T12:00:00Z
182,"Home Theater Receiver","Powerful home theater receiver for enhanced audio performance",50000,3,2023-03-25T10:00:00Z,2023-04-01T10:00:00Z
183,"Yoga Strap","Durable and adjustable yoga strap for stretching and flexibility",3000,7,2023-03-27T16:00:00Z,2023-04-03T16:00:00Z
184,"Wireless Charging Stand","Wireless charging stand for convenient device charging",6000,2,2023-03-24T09:00:00Z,2023-03-31T09:00:00Z
185,"Camping Lantern","Portable and rechargeable camping lantern for outdoor lighting",10000,8,2023-03-30T14:00:00Z,2023-04-06T14:00:00Z
186,"Gaming Keyboard","Gaming keyboard with customizable RGB lighting and programmable keys",15000,5,2023-03-23T11:00:00Z,2023-03-30T11:00:00Z
187,"Robot Vacuum Cleaner","Automated robot vacuum cleaner for effortless cleaning",60000,1,2023-03-31T13:00:00Z,2023-04-07T13:00:00Z
188,"Resistance Loop Bands","Set of resistance loop bands for strength training and mobility",5000,6,2023-03-22T15:00:00Z,2023-03-29T15:00:00Z
189,"Cycling Shoes","High-performance cycling shoes for efficient power transfer",12000,10,2023-03-30T17:00:00Z,2023-04-06T17:00:00Z
190,"Smart Home Hub","Central control hub for managing smart home devices",30000,4,2023-03-21T08:00:00Z,2023-03-28T08:00:00Z

